Name,Postal Code,FIPS,Mainland,Mainland_plus
Alaska,AK,2,0,1
Hawaii,HI,15,0,1
American Samoa,AS,60,0,0
Guam,GU,66,0,0
Northern Mariana Islands,MP,69,0,0
Puerto Rico,PR,72,0,0
Virgin Islands,VI,78,0,0
Alabama,AL,1,1,1
Arizona,AZ,4,1,1
Arkansas,AR,5,1,1
California,CA,6,1,1
Colorado,CO,8,1,1
Connecticut,CT,9,1,1
Delaware,DE,10,1,1
Florida,FL,12,1,1
Georgia,GA,13,1,1
Idaho,ID,16,1,1
Illinois,IL,17,1,1
Indiana,IN,18,1,1
Iowa,IA,19,1,1
Kansas,KS,20,1,1
Kentucky,KY,21,1,1
Louisiana,LA,22,1,1
Maine,ME,23,1,1
Maryland,MD,24,1,1
Massachusetts,MA,25,1,1
Michigan,MI,26,1,1
Minnesota,MN,27,1,1
Mississippi,MS,28,1,1
Missouri,MO,29,1,1
Montana,MT,30,1,1
Nebraska,NE,31,1,1
Nevada,NV,32,1,1
New Hampshire,NH,33,1,1
New Jersey,NJ,34,1,1
New Mexico,NM,35,1,1
New York,NY,36,1,1
North Carolina,NC,37,1,1
North Dakota,ND,38,1,1
Ohio,OH,39,1,1
Oklahoma,OK,40,1,1
Oregon,OR,41,1,1
Pennsylvania,PA,42,1,1
Rhode Island,RI,44,1,1
South Carolina,SC,45,1,1
South Dakota,SD,46,1,1
Tennessee,TN,47,1,1
Texas,TX,48,1,1
Utah,UT,49,1,1
Vermont,VT,50,1,1
Virginia,VA,51,1,1
Washington,WA,53,1,1
West Virginia,WV,54,1,1
Wisconsin,WI,55,1,1
Wyoming,WY,56,1,1
Washington DC,DC,,,1
